日期,风险平价策略
2018-01-03,1.0012038331580164
2018-01-04,1.0023330027971913
2018-01-05,1.0031607892933303
2018-01-08,1.0048422648764481
2018-01-09,1.0071900834166052
2018-01-10,1.0050704100365084
2018-01-11,1.005947337786683
2018-01-12,1.0047695003091588
2018-01-15,1.0031517341887484
2018-01-16,1.0015350061786419
2018-01-17,0.997833677879742
2018-01-18,0.9982415912145994
2018-01-19,0.9993878262830419
2018-01-22,1.0058848902383009
2018-01-23,1.0076487654371655
2018-01-24,1.0091515599884318
2018-01-25,1.011200494141995
2018-01-26,1.009621263661325
2018-01-29,1.0058500380244548
2018-01-30,1.0003964979662436
2018-01-31,0.9996715021163478
2018-02-01,0.9912895270076325
2018-02-02,0.9922514846853867
2018-02-05,0.9895707133075673
2018-02-06,0.9778896652132275
2018-02-07,0.9737331942435482
2018-02-08,0.9727988831194015
2018-02-09,0.9584907814275149
2018-02-12,0.9679131346445525
2018-02-13,0.9719958882864163
2018-02-14,0.9752521822779932
2018-02-22,0.9846233799716557
2018-02-23,0.9889957274069779
2018-02-26,0.9992366493209652
2018-02-27,0.9967509730541241
2018-02-28,0.9950650374452279
2018-03-01,0.9993773604204558
2018-03-02,1.0011118988012095
2018-03-05,0.9987065560734067
2018-03-06,1.0057774787221738
2018-03-07,1.0000446470493747
2018-03-08,1.0023092509437928
2018-03-09,1.0026844890504971
2018-03-12,1.0045585593564226
2018-03-13,1.0005333951796689
2018-03-14,0.9994550229114463
2018-03-15,1.0001819960164322
2018-03-16,1.0002005067260709
2018-03-19,0.998873223322928
2018-03-20,1.0002934562776387
2018-03-21,0.9971132578804114
2018-03-22,0.998710200840622
2018-03-23,1.0011175928272187
2018-03-26,1.0007748883617955
2018-03-27,0.9996213023302238
2018-03-28,0.9945238367987561
2018-03-29,0.9922426336810493
2018-03-30,0.9998533673274839
2018-04-02,1.0023291446116114
2018-04-03,1.001162570011243
2018-04-04,1.0022225656910917
2018-04-09,1.0085027144328387
2018-04-10,1.0075905605624464
2018-04-11,1.010646525184842
2018-04-12,1.011894819948658
2018-04-13,1.0118188439025142
2018-04-16,1.0140364512423428
2018-04-17,1.019560153266386
2018-04-18,1.024831783762655
2018-04-19,1.0303658273839662
2018-04-20,1.025582831576852
2018-04-23,1.0250871786392184
2018-04-24,1.0225811814999242
2018-04-25,1.019659098966005
2018-04-26,1.0194789838426463
2018-04-27,1.0190180824779504
2018-05-02,1.0211531848684414
2018-05-03,1.0227996689569805
2018-05-04,1.0233759225018684
2018-05-07,1.0234200690270447
2018-05-08,1.020097998494048
2018-05-09,1.019135855467737
2018-05-10,1.0243467519034648
2018-05-11,1.0247429965566663
2018-05-14,1.0228078609607516
2018-05-15,1.0238648558309207
2018-05-16,1.0210204106348315
2018-05-17,1.0209942833020864
2018-05-18,1.0222857499660625
2018-05-21,1.0228697250423964
2018-05-22,1.0230551035243978
2018-05-23,1.0240452865647622
2018-05-24,1.0266149881068742
2018-05-25,1.029032899394778
2018-05-28,1.0233049332826032
2018-05-29,1.0258640077156294
2018-05-30,1.0237304320101128
2018-05-31,1.023756779225663
2018-06-01,1.0257472842476465
2018-06-04,1.0245108307877433
2018-06-05,1.0223990628298516
2018-06-06,1.025633286799304
2018-06-07,1.027143874628488
2018-06-08,1.0236786155203816
