strategy,year,observations,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,monthly_win_rate,annual_turnover,average_max_weight,average_rc_error
equal_weight,2014,224,0.1391177088550155,0.15781635217857426,0.08276849769434273,1.812143513903142,-0.04707037189390939,3.352774703677128,0.8181818181818182,,,
equal_weight,2015,244,0.06632663869928446,0.06857422279112657,0.1538906781620123,0.507936722297726,-0.18907103730817232,0.3626902552999457,0.5,,,
equal_weight,2016,244,0.08812904682858869,0.09114643939373335,0.10251387991059163,0.9022133439766223,-0.05875048903596736,1.5514158416270036,0.6666666666666666,,,
equal_weight,2017,244,0.0654380318244756,0.06765455943289211,0.056748767017088496,1.1819881340107696,-0.04866953444661182,1.390080266888642,0.6666666666666666,,,
equal_weight,2018,243,-0.07056215676555333,-0.07307770696398641,0.07873914510492502,-0.9243164806126303,-0.09736974292514478,-0.7505176122336749,0.25,,,
equal_weight,2019,244,0.14183921798836474,0.1468157331872586,0.07386502058383859,1.891862547273419,-0.05306788361011838,2.7665646941169033,0.5,,,
equal_weight,2020,243,0.1512112542638735,0.15723091621968455,0.11263186383853661,1.3532327818417276,-0.08633849389716652,1.82109866784281,0.6666666666666666,,,
equal_weight,2021,243,0.1384315963303162,0.1439113865872388,0.0917010098486631,1.5123319480786073,-0.07115393961562555,2.0225357494560363,0.5833333333333334,,,
equal_weight,2022,242,0.054142810542303854,0.05644212336850196,0.10879327684426471,0.559026516470266,-0.07458027686349122,0.7567969139054201,0.5833333333333334,,,
equal_weight,2023,242,0.04777269574565146,0.049795143550015464,0.06150155111332047,0.82084225142151,-0.04504996254759441,1.1053315193638142,0.5833333333333334,,,
equal_weight,2024,242,0.08999187820486898,0.09387998926046315,0.09772939317282446,0.966867426794535,-0.09562022503327605,0.9818005471937835,0.5833333333333334,,,
equal_weight,2025,243,0.12644841179723176,0.1314270058419018,0.07385509498411359,1.7094338617501685,-0.043554586360056824,3.0175239125317765,0.9166666666666666,,,
equal_weight,2026,59,0.055537174274014944,0.2596788454932304,0.13973777561444975,1.7218156507014704,-0.05239966357452286,4.955734975739202,0.75,,,
inverse_downside_vol,2014,224,0.13904693237263954,0.15773542192790457,0.052904184944019446,2.795645263886048,-0.03336950649446324,4.726933014549569,0.7272727272727273,,,
inverse_downside_vol,2015,244,0.06845650933127101,0.07077863387301986,0.061098553469282585,1.1498592770321385,-0.05817828963681981,1.2165815515522744,0.5833333333333334,,,
inverse_downside_vol,2016,244,0.07287798303379933,0.07535530841909877,0.04952167255167028,1.4919443280160958,-0.0553131557580292,1.3623397071891035,0.75,,,
inverse_downside_vol,2017,244,0.03208956889024073,0.03315894278855436,0.03983508097295975,0.8387881700646286,-0.04030353935083941,0.8227302942282102,0.5833333333333334,,,
inverse_downside_vol,2018,243,0.044928861228548334,0.04663111209534754,0.04025987318886162,1.152202325771072,-0.027499793826826435,1.6956895164013277,0.75,,,
inverse_downside_vol,2019,244,0.07028100394395342,0.07266709607967203,0.03245096547276915,2.178126910854384,-0.03283576079565764,2.2130474311800286,0.6666666666666666,,,
inverse_downside_vol,2020,243,0.11951300624123218,0.12420377082853196,0.050212679880799756,2.357104592049315,-0.02987395547461924,4.157593758685717,0.8333333333333334,,,
inverse_downside_vol,2021,243,0.09744992210466674,0.1012361060225897,0.03812834447656637,2.5486543249463107,-0.01748054571935176,5.791358442003142,0.75,,,
inverse_downside_vol,2022,242,0.0417586597406201,0.04352125095335402,0.041821336628609845,1.039577195412068,-0.022329018396788247,1.9490893052250793,0.6666666666666666,,,
inverse_downside_vol,2023,242,0.05964778884316457,0.06218770267030993,0.026999036840596034,2.2482572717721414,-0.022534356964685975,2.7596839247627734,0.6666666666666666,,,
inverse_downside_vol,2024,242,0.12101743023065747,0.12632173015907222,0.06009670541281311,2.0098348326733895,-0.04203918480186597,3.004856796211359,0.6666666666666666,,,
inverse_downside_vol,2025,243,0.06716244320539522,0.06973475981645727,0.04553141443116265,1.5035318976610803,-0.027632205120014297,2.5236769745150616,0.9166666666666666,,,
inverse_downside_vol,2026,59,0.03531775499873291,0.15979817346187808,0.06308445932225665,2.3817013605793327,-0.022754404663846595,7.022735853677328,0.75,,,
erc,2014,224,0.131909446990637,0.14957720919750495,0.04832113436047129,2.909591555783521,-0.030322665193200482,4.932851655501771,0.7272727272727273,,,
erc,2015,244,0.07500200212389507,0.07755410405415675,0.05776092160478872,1.3221164596788362,-0.053859518011972196,1.4399331244835423,0.5833333333333334,,,
erc,2016,244,0.0675824472250115,0.06987396420683978,0.04767039670003708,1.440774849997209,-0.05578911410081666,1.2524659215876837,0.75,,,
erc,2017,244,0.02808708840631491,0.029021213796088796,0.039538362137712925,0.7432778348740253,-0.04029497381383684,0.7202191997981454,0.5833333333333334,,,
erc,2018,243,0.057508829220702884,0.05970115942975385,0.03739493759268094,1.5694451806697816,-0.02445401763795141,2.4413640455178474,0.75,,,
erc,2019,244,0.06278011801641581,0.06490390270156365,0.030812655790326104,2.0564659948521538,-0.03198206002636794,2.0293846815387426,0.6666666666666666,,,
erc,2020,243,0.10580165315379886,0.10992826275453926,0.04506468382247641,2.3372501692342,-0.02726962331859839,4.031161760843471,0.8333333333333334,,,
erc,2021,243,0.0918315573977122,0.09539010776664014,0.03568760207644738,2.571243453877976,-0.016940437554957444,5.630911684375308,0.75,,,
erc,2022,242,0.04364759870553092,0.04549164705201192,0.04011622565330023,1.1290600242764546,-0.021493114705712135,2.1165683836378446,0.6666666666666666,,,
